Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2014-01-01,ADANIPORTS,EQ,155.4,154.55,157.75,154.55,156.5,156.3,156.56,851727,13334724800000.0,5166,500357,0.5875
2014-01-02,ADANIPORTS,EQ,156.3,155.7,159.4,151.1,151.75,152.65,156.21,2862278,44710791580000.0,20462,1726403,0.6032000000000001
2014-01-03,ADANIPORTS,EQ,152.65,151.5,153.85,147.5,149.65,149.9,150.35,1636752,24608530435000.0,16311,710903,0.4343
2014-01-06,ADANIPORTS,EQ,149.9,150.5,152.5,149.0,151.0,150.85,150.93,750034,11320433860000.0,8146,285694,0.3809
2014-01-07,ADANIPORTS,EQ,150.85,150.85,152.2,145.3,145.5,145.95,148.08,1069056,15830748465000.0,9638,625606,0.5852
2014-01-08,ADANIPORTS,EQ,145.95,147.1,152.2,144.4,150.55,150.75,149.21,1195550,17838434855000.0,22012,490710,0.4104
2014-01-09,ADANIPORTS,EQ,150.75,149.45,153.2,148.55,150.35,149.55,150.08,1377312,20670805355000.0,17929,782943,0.5685
2014-01-10,ADANIPORTS,EQ,149.55,150.3,152.0,147.7,147.75,148.3,149.69,820545,12282656120000.0,11919,331011,0.40340000000000004
2014-01-13,ADANIPORTS,EQ,148.3,148.5,149.95,142.2,145.1,143.75,144.47,1444514,20868749940000.0,15664,708379,0.4904
2014-01-14,ADANIPORTS,EQ,143.75,143.0,149.7,142.0,147.4,147.05,146.58,2065518,30275811789999.996,26431,860007,0.4164
2014-01-15,ADANIPORTS,EQ,147.05,147.1,150.9,147.1,150.4,150.1,149.14,1073586,16011815105000.002,13541,606368,0.5648
2014-01-16,ADANIPORTS,EQ,150.1,149.1,152.45,149.1,150.2,150.8,150.91,1193550,18011803435000.0,15444,720201,0.6034
2014-01-17,ADANIPORTS,EQ,150.8,150.2,151.6,145.1,148.95,148.65,148.24,1122874,16644951150000.0,15328,666006,0.5931000000000001
2014-01-20,ADANIPORTS,EQ,148.65,149.1,152.5,148.75,150.6,150.95,151.27,1223239,18503396125000.0,13074,803454,0.6568
2014-01-21,ADANIPORTS,EQ,150.95,151.0,151.45,146.15,147.1,147.65,147.85,1112972,16455145500000.0,13165,727922,0.654
2014-01-22,ADANIPORTS,EQ,147.65,147.65,149.6,146.65,147.95,147.9,148.04,732908,10849674030000.0,7239,250160,0.34130000000000005
2014-01-23,ADANIPORTS,EQ,147.9,147.2,149.6,147.2,148.5,148.3,148.34,1518047,22519154855000.0,8977,1053136,0.6937000000000001
2014-01-24,ADANIPORTS,EQ,148.3,147.5,149.2,143.15,144.4,145.0,145.6,4192128,61035555054999.99,8882,3729605,0.8897
2014-01-27,ADANIPORTS,EQ,145.0,143.55,147.4,141.25,144.4,143.95,144.27,2467215,35594450630000.0,32326,813670,0.3298
2014-01-28,ADANIPORTS,EQ,143.95,143.6,146.4,141.05,142.4,142.0,143.74,1453706,20896273190000.0,25671,854243,0.5876
2014-01-29,ADANIPORTS,EQ,142.0,144.0,147.8,143.35,147.35,146.65,146.25,1503702,21992149230000.0,19935,735607,0.4892
2014-01-30,ADANIPORTS,EQ,146.65,144.7,146.35,141.0,142.8,141.65,142.34,1530051,21778785085000.0,14734,874790,0.5717
2014-01-31,ADANIPORTS,EQ,141.65,143.0,147.55,142.3,146.0,146.95,145.29,765126,11116199280000.0,10890,406331,0.5311
2014-02-03,ADANIPORTS,EQ,146.95,146.4,146.65,143.4,144.0,143.95,144.47,520680,7522158009999.999,15378,287451,0.5521
2014-02-04,ADANIPORTS,EQ,143.95,142.5,148.5,141.95,148.0,146.9,145.35,787885,11451707470000.0,13103,421777,0.5353
2014-02-05,ADANIPORTS,EQ,146.9,146.9,148.5,144.5,146.0,145.7,147.33,2446824,36048289820000.0,7110,2139587,0.8744
2014-02-06,ADANIPORTS,EQ,145.7,148.0,148.85,145.7,146.0,146.4,147.15,720689,10605093245000.0,10724,424348,0.5888
2014-02-07,ADANIPORTS,EQ,146.4,147.5,152.5,146.7,147.2,147.5,147.85,6366201,94126067615000.0,23181,4782840,0.7513
2014-02-10,ADANIPORTS,EQ,147.5,147.25,149.1,146.7,147.5,148.05,147.55,1981260,29233416530000.0,8064,1745515,0.881
2014-02-11,ADANIPORTS,EQ,148.05,149.9,150.0,147.55,148.3,148.25,148.47,2114388,31391530864999.996,9885,1746268,0.8259000000000001
2014-02-12,ADANIPORTS,EQ,148.25,149.0,149.2,144.35,146.0,146.05,146.66,835543,12253869690000.0,20550,454538,0.544
2014-02-13,ADANIPORTS,EQ,146.05,146.1,147.25,143.5,144.0,144.15,144.74,734478,10630529915000.0,26586,507380,0.6908
2014-02-14,ADANIPORTS,EQ,144.15,143.35,148.4,143.35,147.4,147.05,146.71,919174,13485378050000.0,14430,509477,0.5543
2014-02-17,ADANIPORTS,EQ,147.05,148.4,152.0,146.2,152.0,151.2,149.22,647048,9655488685000.0,11253,270663,0.4183
2014-02-18,ADANIPORTS,EQ,151.2,152.0,160.4,151.45,160.4,159.65,155.99,3306662,51580789490000.0,69262,1552033,0.4694
2014-02-19,ADANIPORTS,EQ,159.65,160.0,165.0,158.5,163.5,164.1,162.68,2624162,42689814615000.0,33562,1405333,0.5355
2014-02-20,ADANIPORTS,EQ,164.1,161.05,167.5,160.15,165.2,164.8,164.44,2344760,38557536290000.0,41406,1143919,0.4879
2014-02-21,ADANIPORTS,EQ,164.8,166.4,168.4,162.55,166.65,167.25,165.7,2288323,37916755250000.0,34414,1195596,0.5225
2014-02-24,ADANIPORTS,EQ,167.25,167.0,170.7,163.35,163.5,164.5,167.07,2124447,35492441265000.0,22595,1040096,0.48960000000000004
2014-02-25,ADANIPORTS,EQ,164.5,164.85,166.6,158.05,159.45,159.0,161.86,1682365,27230186870000.0,20500,887716,0.5277000000000001
2014-02-26,ADANIPORTS,EQ,159.0,160.0,161.7,154.85,160.6,160.75,158.17,1778597,28132277930000.0,17492,998747,0.5615
2014-02-28,ADANIPORTS,EQ,160.75,160.6,169.8,160.15,168.85,167.25,164.78,2464976,40618202415000.0,41558,1637516,0.6643000000000001
2014-03-03,ADANIPORTS,EQ,167.25,168.0,173.8,167.4,171.5,171.65,171.75,1937906,33283799350000.0,24225,468192,0.2416
2014-03-04,ADANIPORTS,EQ,171.65,172.3,176.8,171.1,175.0,175.45,174.04,2792682,48603244335000.0,34960,1352379,0.4843
2014-03-05,ADANIPORTS,EQ,175.45,176.2,178.65,175.05,176.5,176.9,177.21,2423656,42949784320000.0,18600,1406558,0.5803
2014-03-06,ADANIPORTS,EQ,176.9,177.25,179.7,175.75,178.3,179.15,178.1,1618425,28824210514999.996,21939,722867,0.4466
2014-03-07,ADANIPORTS,EQ,179.15,179.7,189.7,176.55,184.7,186.9,184.02,4517490,83128850675000.0,45069,2063218,0.45670000000000005
2014-03-10,ADANIPORTS,EQ,186.9,185.95,190.75,182.3,187.8,187.85,187.0,2522084,47162554195000.0,24292,959469,0.3804
2014-03-11,ADANIPORTS,EQ,187.85,188.1,188.5,183.65,183.85,184.6,186.34,1741685,32454855164999.996,23247,722125,0.4146
