epoch,loss,val_loss
0,0.03316326317732514,0.022607629949396305
1,0.010604522749840405,0.004988485756753521
2,0.06042788501692503,0.011208370465531269
3,0.01284444280794229,0.009962109933522615
4,0.009052234942286342,0.006946072871373458
5,0.007070257182490561,0.015008389484137297
6,0.006714696195705634,0.0076490750467531725
7,0.005836334339968597,0.0037473757931200617
8,0.00638600040169555,0.005896897928323597
9,0.006463850402999951,0.005327532300725579
10,0.005691968287474175,0.0064373335070823405
11,0.005694569966043205,0.004927643918728625
12,0.004935645349876428,0.0038504172328182244
13,0.005115679179193602,0.0064499575237277895
14,0.004981000376794713,0.0057320433578834954
15,0.0042123513292130835,0.006206016998145391
16,0.0046443150074790334,0.005517878037856214
17,0.00415913335775552,0.006474129892674021
18,0.00431255634369639,0.006051287787902931
19,0.0026586352583818193,0.004700129470703277
20,0.0029200505408825297,0.00333326297219504
21,0.007085904982464266,0.004984466393414716
22,0.003403873809594473,0.004986169763883067
23,0.004880347505953831,0.00494628465226428
24,0.003674134291794311,0.003240191128993915
25,0.00460871678454839,0.002784969340692359
26,0.003151294557469417,0.005412324220577086
27,0.0029680759703618184,0.0032714268097399986
28,0.005549566016527777,0.0030565720014485783
29,0.0033086621734040853,0.0020431790881874886
30,0.004710018045958038,0.004169997851766477
31,0.002940382914866951,0.002204530602532693
32,0.003115272491487129,0.0025378250495784664
33,0.0027176273285265487,0.003927859231639145
34,0.004540900023350718,0.004870778809576718
35,0.003303327110996987,0.0038776968140155077
36,0.0028171747275557595,0.002726048860825937
37,0.005415985689409115,0.003546883158957247
38,0.0033481406274891335,0.003972559056075459
39,0.002845412638800388,0.0029038241852752185
40,0.004299803601396788,0.005613526789767837
41,0.0036189785992110507,0.0036943391103043473
42,0.004408781237240571,0.005970307252771983
43,0.0026071254246882304,0.0038854028257033365
44,0.004452468101387947,0.0033621801730160687
45,0.0028951512345388023,0.002990028572226451
46,0.0030129919004405503,0.003453100433530794
47,0.003965709026258514,0.004117213152560659
48,0.002976576156203983,0.005320699329868975
49,0.003969867487680261,0.0029818929139186034
50,0.003624067193184123,0.00499006364737976
51,0.0032844991888262972,0.003279607835627923
52,0.002617228720360671,0.005584004239856519
53,0.003634171537329405,0.004657497902040963
54,0.0030826393881168293,0.004777088660789145
55,0.0032753561208297434,0.004626263112930412
56,0.0028373062792304677,0.0070409973427145315
57,0.0027398923529556606,0.0036842982623387466
58,0.004205787394753177,0.004763370602052997
59,0.0028950629845223945,0.004563636022133075
60,0.003290887503129797,0.006840519956313074
61,0.0030167503091342034,0.0044423093363134694
